M0010;M0020;M0100;M0101;M0110;M0120;M0130;M0140;M0150;M0160;M0170;MM0150;MM0160;MM0170
5;52;3824497;M002;4.4310901356457;01;01;1;3;1;15;0;0;0
5;52;2528632;M001;2.3473270071747;01;01;1;3;1;15;0;0;0
5;52;3855035;M001;2.1742613108369;01;01;1;3;1;17;0;0;0
5;52;7515456;M001;3.1719609360414;01;01;1;4;2;17;0;0;0
5;52;7429546;M001;3.1911465241658;01;01;1;2;1;05;0;0;0
5;52;7539374;M001;3.6367239875669;01;01;1;2;1;16;0;0;0
5;52;2446307;M001;2.7852903584897;01;01;1;1;1;13;0;0;0
5;52;1116769;M001;3.3851370235979;01;01;1;2;1;08;0;0;0
5;52;1738958;M001;3.9936917213778;01;01;1;4;1;10;0;0;0
5;52;2218181;M001;3.9407963065151;01;01;1;3;1;12;0;0;0
5;52;413041;M001;3.4592287192146;01;01;1;4;1;17;0;0;0
5;52;6393833;M001;3.0185446226206;01;01;1;2;2;14;0;0;0
5;52;5800527;M001;3.813120096049;08;01;2;3;2;17;0;0;0
5;52;1697640;M001;3.2312443943034;08;01;2;3;2;14;0;0;0
5;52;7714054;M001;2.5259242640869;08;01;2;1;1;07;0;0;0
5;52;986235;M001;3.5540431269533;08;01;2;2;2;17;0;0;0
5;52;1673169;M001;2.0339069453146;08;01;2;3;1;15;0;0;0
5;52;5287413;M001;2.9709503859923;01;01;1;2;1;09;0;0;0
5;52;818693;M001;2.657398587266;01;01;1;1;2;11;0;0;0
5;52;4027036;M001;4.4509297211524;08;01;2;2;2;16;0;0;0
5;52;7711848;M001;3.8728665313732;08;01;2;2;2;12;0;0;0
5;52;95718;M001;3.0081596099109;08;01;2;2;1;13;0;0;0
5;52;7622374;M001;1.6565295822319;01;01;1;4;2;15;0;0;0
5;52;491069;M001;1.8344287412972;01;01;1;3;1;16;0;0;0
5;52;1891860;M001;1.7777912640933;01;01;1;3;1;12;0;0;0
5;52;672702;M001;2.1808127789825;01;01;1;2;1;13;0;0;0
5;52;4983965;M001;1.8775692216127;01;01;1;3;1;16;0;0;0
5;52;2526875;M001;2.155028794355;01;01;1;3;1;08;0;0;0
5;52;475820;M001;2.3114250364838;01;01;1;3;1;16;0;0;0
5;52;6263031;M001;1.7697764995895;01;01;1;1;2;03;0;0;0
5;52;437686;M001;1.7777912640933;01;01;1;2;1;10;0;0;0
5;52;982816;M001;1.4934334353967;01;01;1;3;1;01;0;0;0
5;52;1289973;M001;1.944885170203;01;01;1;4;2;17;0;0;0
5;52;822388;M001;1.7005028175563;01;01;1;4;2;08;0;0;0
5;52;996513;M001;2.4372130343111;01;01;1;3;1;14;0;0;0
5;52;7495424;M001;2.1105729718497;01;01;1;1;1;15;0;0;0
5;52;1406527;M001;1.8851023185504;01;01;1;3;1;11;0;0;0
5;52;6850730;M001;1.6255794496335;01;01;1;4;2;15;0;0;0
5;52;2839157;M001;2.155028794355;01;01;1;4;1;13;0;0;0
5;52;17842;M001;1.75409287672;01;01;1;3;1;16;0;0;0
5;52;988183;M001;1.5948311473602;01;01;1;3;2;16;0;0;0
5;52;6748632;M001;1.874572262124;01;01;1;3;2;15;0;0;0
5;52;7353093;M001;1.7556801179337;08;01;2;1;2;11;0;0;0
5;52;5148240;M001;8.5089085381848;01;01;1;3;2;10;0;0;0
5;52;2263276;M001;9.387769517079;01;01;1;1;1;09;0;0;0
5;52;4315331;M001;12.2817343687461;01;01;1;3;1;09;0;0;0
5;52;4427596;M001;11.1736331672262;01;01;1;4;1;04;0;0;0
5;52;3856683;M001;9.9376242580066;01;01;1;2;2;12;0;0;0
5;52;4898213;M001;11.3688411892005;01;01;1;4;2;13;0;0;0
5;52;6570126;M001;9.9376242580066;01;01;1;2;2;07;0;0;0
5;52;6086812;M001;10.8059606682038;01;01;1;3;1;17;0;0;0
5;52;2921191;M001;9.9376242580066;01;01;1;1;1;11;0;0;0
5;52;3004037;M001;9.1078051091698;01;01;1;3;1;11;0;0;0
5;52;6407191;M001;8.9917853431488;01;01;1;1;2;12;0;0;0
5;52;1806487;M001;9.6737947011581;01;01;1;1;1;09;0;0;0
5;52;2217830;M001;10.2538762563895;01;01;1;3;1;11;0;0;0
5;52;5475543;M001;8.4075522924021;01;01;1;1;1;15;0;0;0
5;52;6666837;M001;7.0924503750107;01;01;1;1;1;11;0;0;0
5;52;3096135;M001;9.9420985448412;01;01;1;1;1;14;0;0;0
5;52;4774822;M001;14.5884913480592;01;01;1;1;2;09;0;0;0
5;52;4774822;M002;14.5884913480592;01;01;1;4;2;11;0;0;0
5;52;2094446;M001;13.8340599375223;01;01;1;3;1;17;0;0;0
5;52;5058279;M001;11.6727122989549;01;01;1;3;1;11;0;0;0
5;52;5872566;M001;4.6718877103357;01;01;1;1;2;07;0;0;0
5;52;250026;M001;12.342427388564;01;01;1;1;1;12;0;0;0
5;52;1300824;M001;7.9268587251928;01;01;1;1;1;17;0;0;0
5;52;1300824;M002;7.9268587251928;01;01;1;4;1;13;0;0;0
5;52;1300824;M003;7.9268587251928;01;01;1;4;2;12;0;0;0
5;52;1300824;M004;7.9268587251928;01;01;1;4;1;11;0;0;0
5;52;1300824;M005;7.9268587251928;01;01;1;4;1;10;0;0;0
5;52;2968307;M001;9.2998093057447;01;01;1;3;2;15;0;0;0
5;52;6210423;M001;4.7670201183498;01;01;1;2;2;10;0;0;0
5;52;203240;M001;8.005586278827;01;01;1;2;2;17;0;0;0
5;52;2847810;M001;2.6059380995172;01;01;1;4;2;05;0;0;0
5;52;6459906;M001;6.5233650154492;01;01;1;2;1;14;0;0;0
5;52;2028346;M001;7.281125037953;01;01;1;4;1;13;0;0;0
5;52;6278296;M001;6.3226124630041;01;01;1;4;1;11;0;0;0
5;52;7640135;M001;11.3140912166001;02;01;1;3;1;04;0;0;0
5;52;1437297;M001;7.8807103005897;01;01;1;3;1;17;0;0;0
5;52;5223056;M001;8.7944848336806;01;01;1;2;1;15;0;0;0
5;52;7275568;M001;6.0677813759675;01;01;1;3;1;09;0;0;0
5;52;1290864;M001;10.4501884901106;01;01;1;3;2;17;0;0;0
5;52;6675541;M001;5.914856822521;01;01;1;3;2;13;0;0;0
5;52;2847762;M001;6.7716373194105;01;01;1;2;1;09;0;0;0
5;52;126726;M001;15.9556947395464;01;01;1;2;2;16;0;0;0
5;52;6686925;M001;7.646270112079;01;01;1;3;1;06;0;0;0
5;52;5536076;M001;8.567323295816;01;01;1;3;2;10;0;0;0
5;52;5536076;M002;8.567323295816;01;01;1;3;1;15;0;0;0
5;52;6027422;M001;10.6205920841722;01;01;1;3;2;15;0;0;0
5;52;5069166;M001;7.8591241605965;01;01;1;2;2;14;0;0;0
5;52;1749594;M001;14.2795309335012;01;01;1;2;2;04;0;0;0
5;52;3986960;M001;8.2959312298169;01;01;1;1;2;11;0;0;0
5;52;4148719;M001;12.9314702153363;01;01;1;3;2;13;0;0;0
5;52;5608609;M001;14.3406577483025;01;01;1;4;1;07;0;0;0
5;52;5919632;M001;9.5544440317484;01;01;1;3;1;09;0;0;0
5;52;2203220;M001;14.6167276771687;01;01;1;2;1;11;0;0;0
5;52;129080;M001;11.6524317838051;01;01;1;2;1;14;0;0;0
5;52;2000377;M001;10.1698391699093;01;01;1;2;1;13;0;0;0
5;52;3200734;M001;11.0171521992359;01;01;1;4;1;11;0;0;0
5;52;1683528;M001;15.478982607372;01;01;1;3;2;17;0;0;0
5;52;6854587;M001;8.1471631864534;01;01;1;2;1;16;0;0;0
5;52;6462295;M001;10.671211114653;01;01;1;4;1;16;0;0;0
5;52;6372943;M001;9.9972581124364;01;01;1;3;2;12;0;0;0
5;52;6177765;M001;14.6674375936954;01;01;1;2;1;10;0;0;0
5;52;4111976;M001;13.5530965670292;01;01;1;3;2;14;0;0;0
5;52;5222216;M001;7.469469080911;01;01;1;3;1;17;0;0;0
5;52;6047564;M001;10.2344909509744;01;01;1;1;1;13;0;0;0
5;52;2048371;M001;10.0482784637165;01;01;1;3;1;14;0;0;0
5;52;1494036;M001;10.3631744752168;01;01;1;2;2;16;0;0;0
5;52;5905899;M001;10.5141212437745;01;01;1;3;1;09;0;0;0
5;52;5977745;M001;10.2467137802023;01;01;1;3;2;17;0;0;0
5;52;2141892;M001;10.0482784637165;01;01;1;3;2;15;0;0;0
5;52;5556382;M001;10.2616769566741;01;01;1;4;2;17;0;0;0
5;52;4016194;M001;11.0308502785959;01;01;1;2;1;10;0;0;0
5;52;69942;M001;5.5727749872213;01;01;1;3;1;13;0;0;0
5;52;2026231;M001;11.9992768129792;01;01;1;2;1;15;0;0;0
5;52;7002852;M001;11.9992768129792;01;01;1;3;1;15;0;0;0
5;52;3035783;M001;6.875552806353;01;01;1;1;2;14;0;0;0
5;52;3035783;M002;6.875552806353;01;01;1;3;2;15;0;0;0
5;52;977217;M001;14.5136220325092;01;01;1;1;1;14;0;0;0
5;52;650400;M001;14.5673090945731;01;01;1;2;1;07;0;0;0
5;52;4265044;M001;4.6544658761639;01;01;1;1;2;03;0;0;0
