F0010;F0020;F0100;F0101;F0110;F0120;F0130;F0140;F0150;F0160;F0170;F0180;F0190;F0200;F0210;F0220;F0230;F0240;F0250;F0260;F0270;MF0190;MF0200
5;52;1860353;F001;4.0723313065787;01;01;1;01;4;1;08;1;1;03;;2;1;3;500;2;0;0
5;52;2278524;F001;6.7096123456447;01;01;1;01;2;2;05;1;4;05;;1;1;1;200;;0;0
5;52;1496362;F001;5.0531321007399;01;01;1;01;2;2;07;4;4;01;;0;1;1;1525;1;0;0
5;52;3045299;F001;3.2919570014292;01;01;1;01;2;1;17;1;1;01;;0;1;1;1200;1;0;0
5;52;6851838;F001;5.596132250789;01;01;1;01;2;2;05;3;1;01;;0;1;1;525;2;0;0
5;52;119988;F001;5.3183390427061;01;01;1;01;3;2;08;4;4;03;;1;1;2;2833.33;1;0;0
5;52;3982370;F001;5.7752971338064;01;01;1;01;3;1;05;3;4;10;;0;2;1;133.33;;0;0
5;52;7113105;F001;3.7527600519198;01;01;1;01;3;2;07;2;4;03;;1;1;2;0;4;0;0
5;52;1347549;F001;4.8546199193618;01;01;1;01;5;1;09;2;1;03;;2;2;3;20;4;0;0
5;52;5531759;F001;4.6726033281603;01;01;1;01;4;2;07;4;4;03;;1;1;3;925;1;0;0
5;52;5560657;F001;8.8984845611755;01;01;1;01;3;2;15;1;4;02;;0;1;2;400;3;0;0
5;52;6147729;F001;3.8401112515571;01;01;1;02;3;2;11;1;4;06;;1;1;2;800;;0;0
5;52;6147729;F002;3.8401112515571;01;01;1;03;2;;;;;;1;;1;1;0;;9;9
5;52;2378289;F001;4.8056735340964;01;01;1;01;3;2;08;4;1;03;;1;1;2;0;4;0;0
5;52;6899874;F001;5.648104516166;01;01;1;01;3;2;05;3;4;03;;1;1;2;200;3;0;0
5;52;5134450;F001;5.8259811901876;01;01;1;01;2;1;07;3;2;01;;0;1;1;1856;1;0;0
5;52;321534;F001;5.3141797638728;01;01;1;01;6;2;09;1;4;03;;3;3;3;266.67;2;0;0
